timestamp,topic,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1758551133323223873,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133423806309,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133524383056,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133625348474,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133726054142,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133831907973,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551133927395978,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134029697175,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134130480587,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134238879610,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134343071133,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134447115849,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134547515183,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134648599773,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134749156040,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134849364254,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551134952938967,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135052317562,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135152629925,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135253476291,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135354232513,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135454643170,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135555424453,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135655824815,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135756331520,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135860095544,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551135960508098,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136060977201,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136161472097,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136261884860,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136366769713,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136470838721,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136574641017,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136678768337,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136792563093,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136894696514,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551136996954570,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137097332410,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137217870788,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137308112568,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137409040206,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137512401575,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137612666745,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137713999090,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137743874819,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137844370817,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551137944874302,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138045200111,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138145564894,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138245962369,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138346420236,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138446798107,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138547484698,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138649069992,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138749417298,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138849824169,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551138950154987,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139051018668,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139152026489,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139252503849,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139353017350,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139453579288,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139489059810,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139589425530,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139690223295,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139790879853,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139870728448,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551139971341493,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140071825002,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140172172217,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140272673086,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140373061570,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140473449314,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140577028600,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551140597528281,/cmd_vel,0.005,0.0,0.0,0.0,0.0,0.0
1758551140697438354,/cmd_vel,0.01,0.0,0.0,0.0,0.0,0.0
1758551140797787505,/cmd_vel,0.01,0.0,0.0,0.0,0.0,0.0
1758551140808672139,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.05
1758551140909046678,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.1
1758551141010166585,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.1
1758551141111087885,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.1
1758551141212321559,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.1
1758551141277943874,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.15000000000000002
1758551141378941837,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.2
1758551141484137564,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.2
1758551141585901975,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.2
1758551141590697707,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.25
1758551141694794212,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.3
1758551141795776156,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.30000000000000004
1758551141896192155,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.30000000000000004
1758551141997515173,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.30000000000000004
1758551142098232107,/cmd_vel,0.01,0.0,0.0,0.0,0.0,-0.30000000000000004
1758551142108401987,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551142208750403,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551142309581348,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551142410212129,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
1758551142510735604,/cmd_vel,0.0,0.0,0.0,0.0,0.0,0.0
